,Train Episodes,Train Success Rates,Train Time,Test Steps,Test Success Rates
0,4,0.0,0.00099945068359375,3.0,0.0
1,19,0.08,0.0030069351196289062,6.0,1.0
2,20,0.05,0.0029993057250976562,6.0,1.0
3,8,0.0,0.0010001659393310547,5.0,0.0
4,13,0.0,0.0020799636840820312,100.0,0.0
5,19,0.07,0.004000663757324219,6.0,1.0
6,21,0.08,0.003988504409790039,6.0,1.0
7,19,0.07,0.003988742828369141,6.0,1.0
8,8,0.0,0.0019276142120361328,100.0,0.0
9,10,0.0,0.0010008811950683594,100.0,0.0
10,9,0.0,0.0020096302032470703,100.0,0.0
11,19,0.07,0.003970623016357422,6.0,1.0
12,18,0.06,0.0029697418212890625,6.0,1.0
13,19,0.07,0.00399327278137207,6.0,1.0
14,8,0.0,0.0019636154174804688,100.0,0.0
15,5,0.0,0.0009768009185791016,3.0,0.0
16,13,0.01,0.0019986629486083984,6.0,1.0
17,25,0.09,0.004007101058959961,8.0,1.0
18,18,0.05,0.002952098846435547,6.0,1.0
19,23,0.09,0.002996683120727539,6.0,1.0
20,21,0.08,0.002992868423461914,6.0,1.0
21,21,0.08,0.0020012855529785156,6.0,1.0
22,19,0.07,0.003001689910888672,6.0,1.0
23,17,0.07,0.001980304718017578,6.0,1.0
24,14,0.01,0.002919435501098633,6.0,1.0
25,10,0.01,0.001928091049194336,5.0,0.0
26,7,0.0,0.0009710788726806641,100.0,0.0
27,12,0.0,0.001981973648071289,6.0,1.0
28,11,0.0,0.002972126007080078,100.0,0.0
29,20,0.08,0.0029745101928710938,6.0,1.0
30,11,0.0,0.0019652843475341797,100.0,0.0
31,21,0.08,0.004001140594482422,6.0,1.0
32,15,0.01,0.0029861927032470703,6.0,1.0
33,17,0.03,0.0040013790130615234,100.0,0.0
34,5,0.0,0.0009768009185791016,100.0,0.0
35,21,0.09,0.0029735565185546875,6.0,1.0
36,19,0.07,0.0029578208923339844,6.0,1.0
37,10,0.0,0.0019526481628417969,100.0,0.0
38,6,0.0,0.0009555816650390625,100.0,0.0
39,19,0.06,0.003996849060058594,6.0,1.0
40,20,0.08,0.0030090808868408203,6.0,1.0
41,19,0.07,0.001979827880859375,6.0,1.0
42,6,0.0,0.0009350776672363281,100.0,0.0
43,12,0.0,0.001968860626220703,100.0,0.0
44,15,0.02,0.0029840469360351562,6.0,1.0
45,15,0.02,0.003001689910888672,100.0,0.0
46,19,0.08,0.0029723644256591797,6.0,1.0
47,11,0.0,0.0019550323486328125,7.0,0.0
48,11,0.0,0.001983165740966797,6.0,1.0
49,19,0.08,0.004058361053466797,6.0,1.0
50,9,0.0,0.0020096302032470703,100.0,0.0
51,17,0.06,0.0029916763305664062,6.0,1.0
52,7,0.0,0.0010025501251220703,100.0,0.0
53,12,0.01,0.002967357635498047,100.0,0.0
54,26,0.06,0.005002498626708984,4.0,0.0
55,9,0.0,0.0010237693786621094,100.0,0.0
56,18,0.07,0.0038924217224121094,6.0,1.0
57,11,0.0,0.0019943714141845703,100.0,0.0
58,8,0.0,0.0019316673278808594,5.0,0.0
59,22,0.09,0.003928184509277344,6.0,1.0
60,19,0.07,0.0029866695404052734,6.0,1.0
61,18,0.07,0.0029587745666503906,6.0,1.0
62,18,0.07,0.0030024051666259766,6.0,1.0
63,13,0.0,0.0019652843475341797,100.0,0.0
64,21,0.09,0.0030069351196289062,6.0,1.0
65,19,0.08,0.004079580307006836,6.0,1.0
66,8,0.0,0.0009953975677490234,100.0,0.0
67,8,0.0,0.002010345458984375,100.0,0.0
68,12,0.01,0.0029990673065185547,5.0,0.0
69,19,0.07,0.003931522369384766,6.0,1.0
70,11,0.01,0.0019621849060058594,5.0,0.0
71,8,0.01,0.0019736289978027344,100.0,0.0
72,10,0.0,0.002975940704345703,100.0,0.0
73,12,0.02,0.0019533634185791016,5.0,0.0
74,18,0.0,0.002965688705444336,100.0,0.0
75,20,0.07,0.003991365432739258,6.0,1.0
76,19,0.08,0.003931283950805664,6.0,1.0
77,18,0.06,0.0029401779174804688,6.0,1.0
78,22,0.1,0.003929853439331055,6.0,1.0
79,11,0.01,0.002928495407104492,5.0,0.0
80,19,0.07,0.0029234886169433594,6.0,1.0
81,23,0.09,0.0039997100830078125,6.0,1.0
82,5,0.0,0.0009949207305908203,100.0,0.0
83,17,0.03,0.002933025360107422,6.0,1.0
84,21,0.08,0.004040956497192383,6.0,1.0
85,8,0.0,0.0019941329956054688,5.0,0.0
86,10,0.0,0.0010576248168945312,100.0,0.0
87,19,0.04,0.00400233268737793,6.0,1.0
88,13,0.01,0.0019986629486083984,100.0,0.0
89,7,0.0,0.0029997825622558594,4.0,0.0
90,11,0.0,0.0030121803283691406,5.0,0.0
91,23,0.08,0.00800013542175293,6.0,1.0
92,18,0.07,0.004000425338745117,6.0,1.0
93,8,0.0,0.003000020980834961,100.0,0.0
94,10,0.0,0.0010004043579101562,100.0,0.0
95,10,0.01,0.0019550323486328125,5.0,0.0
96,21,0.08,0.004034996032714844,6.0,1.0
97,10,0.0,0.0020062923431396484,5.0,0.0
98,8,0.01,0.0019989013671875,5.0,0.0
99,20,0.07,0.004001617431640625,6.0,1.0
100,12,0.0,0.003008127212524414,100.0,0.0
101,19,0.07,0.0039408206939697266,6.0,1.0
102,11,0.0,0.002939462661743164,100.0,0.0
103,16,0.06,0.0029554367065429688,6.0,1.0
104,21,0.09,0.004050254821777344,6.0,1.0
105,14,0.01,0.0029692649841308594,8.0,1.0
106,17,0.07,0.00400996208190918,6.0,1.0
107,13,0.0,0.0020263195037841797,100.0,0.0
108,10,0.0,0.002985239028930664,5.0,0.0
109,16,0.03,0.003960609436035156,6.0,1.0
110,19,0.06,0.004994392395019531,6.0,1.0
111,10,0.0,0.0020051002502441406,100.0,0.0
112,23,0.08,0.003957509994506836,6.0,1.0
113,16,0.07,0.004044532775878906,6.0,1.0
114,13,0.01,0.002966642379760742,100.0,0.0
115,21,0.07,0.005015134811401367,6.0,1.0
116,10,0.02,0.0029578208923339844,100.0,0.0
117,13,0.02,0.0029587745666503906,100.0,0.0
118,10,0.0,0.001997709274291992,100.0,0.0
119,20,0.07,0.0029916763305664062,6.0,1.0
120,17,0.04,0.003954887390136719,100.0,0.0
121,20,0.0,0.0039997100830078125,4.0,0.0
122,19,0.07,0.00399327278137207,6.0,1.0
123,10,0.0,0.002000093460083008,100.0,0.0
124,17,0.07,0.003958225250244141,6.0,1.0
125,15,0.02,0.002961874008178711,7.0,0.0
126,19,0.07,0.0029773712158203125,6.0,1.0
127,8,0.01,0.0019714832305908203,100.0,0.0
128,20,0.07,0.0040493011474609375,6.0,1.0
129,10,0.01,0.0029985904693603516,100.0,0.0
130,18,0.05,0.005000114440917969,6.0,1.0
131,9,0.0,0.0019567012786865234,100.0,0.0
132,9,0.0,0.001993894577026367,6.0,1.0
133,17,0.07,0.0030019283294677734,6.0,1.0
134,22,0.09,0.003999948501586914,6.0,1.0
135,20,0.07,0.005000591278076172,6.0,1.0
136,20,0.08,0.004000186920166016,6.0,1.0
137,10,0.0,0.0029981136322021484,5.0,0.0
138,17,0.07,0.0029938220977783203,6.0,1.0
139,8,0.0,0.0020003318786621094,100.0,0.0
140,20,0.08,0.005039215087890625,6.0,1.0
141,11,0.01,0.0029251575469970703,100.0,0.0
142,4,0.0,0.001001596450805664,3.0,0.0
143,18,0.04,0.0030012130737304688,6.0,1.0
144,21,0.09,0.003999948501586914,6.0,1.0
145,10,0.0,0.00199127197265625,100.0,0.0
146,8,0.0,0.0019397735595703125,6.0,1.0
147,18,0.07,0.003978729248046875,6.0,1.0
148,8,0.0,0.0019991397857666016,100.0,0.0
149,21,0.08,0.004006862640380859,8.0,1.0
150,21,0.08,0.005003452301025391,6.0,1.0
151,7,0.0,0.0009334087371826172,100.0,0.0
152,19,0.08,0.0040051937103271484,6.0,1.0
153,18,0.07,0.004000663757324219,6.0,1.0
154,23,0.09,0.004958152770996094,6.0,1.0
155,20,0.08,0.003999233245849609,6.0,1.0
156,10,0.0,0.0029573440551757812,100.0,0.0
157,20,0.08,0.0040585994720458984,6.0,1.0
158,15,0.02,0.0030088424682617188,6.0,1.0
159,21,0.08,0.003964900970458984,6.0,1.0
160,13,0.0,0.002937793731689453,100.0,0.0
161,20,0.08,0.003999948501586914,6.0,1.0
162,19,0.07,0.0040814876556396484,6.0,1.0
163,11,0.01,0.0029230117797851562,5.0,0.0
164,22,0.08,0.003964424133300781,6.0,1.0
165,21,0.09,0.004001140594482422,6.0,1.0
166,11,0.0,0.0020003318786621094,5.0,0.0
167,21,0.08,0.0039980411529541016,6.0,1.0
168,19,0.07,0.003949165344238281,6.0,1.0
169,12,0.01,0.0019998550415039062,100.0,0.0
170,10,0.0,0.002984762191772461,7.0,0.0
171,17,0.08,0.0030059814453125,6.0,1.0
172,10,0.0,0.001956939697265625,100.0,0.0
173,21,0.09,0.003022909164428711,6.0,1.0
174,11,0.0,0.0020041465759277344,5.0,0.0
175,21,0.07,0.003992795944213867,6.0,1.0
176,9,0.0,0.001963376998901367,100.0,0.0
177,7,0.0,0.0019292831420898438,100.0,0.0
178,19,0.05,0.004998207092285156,6.0,1.0
179,11,0.01,0.0029659271240234375,6.0,0.0
180,20,0.09,0.004998922348022461,6.0,1.0
181,11,0.01,0.003000020980834961,5.0,0.0
182,18,0.04,0.004967689514160156,6.0,1.0
183,7,0.0,0.0020592212677001953,100.0,0.0
184,17,0.07,0.004000663757324219,6.0,1.0
185,20,0.08,0.005035877227783203,6.0,1.0
186,10,0.01,0.0030074119567871094,100.0,0.0
187,18,0.07,0.0039904117584228516,6.0,1.0
188,11,0.01,0.0019996166229248047,100.0,0.0
189,22,0.08,0.004960775375366211,6.0,1.0
190,19,0.07,0.003999471664428711,6.0,1.0
191,8,0.0,0.0019378662109375,100.0,0.0
192,17,0.07,0.0039899349212646484,6.0,1.0
193,15,0.01,0.004033327102661133,100.0,0.0
194,17,0.04,0.003947734832763672,6.0,1.0
195,13,0.02,0.002955198287963867,7.0,0.0
196,19,0.07,0.0039997100830078125,6.0,1.0
197,8,0.0,0.0009920597076416016,100.0,0.0
198,6,0.0,0.0009694099426269531,5.0,0.0
199,18,0.07,0.002990245819091797,6.0,1.0
200,20,0.08,0.003967761993408203,6.0,1.0
201,14,0.0,0.0030045509338378906,2.0,0.0
202,6,0.0,0.0009620189666748047,100.0,0.0
203,22,0.09,0.0039637088775634766,6.0,1.0
204,17,0.07,0.002994060516357422,6.0,1.0
205,19,0.07,0.0039937496185302734,6.0,1.0
206,6,0.0,0.0019884109497070312,100.0,0.0
